Min,Max,Median,Mean,Point_id,date,Depth,POINTID,pH_CaCl2,pH_H2O,EC,OC,CaCO3,P,N,K,OC (20-30 cm),CaCO3 (20-30 cm),Ox_Al,Ox_Fe,NUTS_0,NUTS_1,NUTS_2,NUTS_3,TH_LAT,TH_LONG,SURVEY_DATE,Elev,LC,LU,LC0_Desc,LC1_Desc,LU1_Desc
0.0894635,0.19060607,0.13834418,0.13621949,48922986,2018-08-24,0-20 cm,48922986,6.4,6.9,15.01,11.9,,21,1.5,135.1,,,0.4,1.7,CZ,CZ0,CZ08,CZ080,49.70878881,17.93299119,24-08-18,288,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.078616895,0.13341781,0.09382049,0.09968803,48963340,2018-08-09,0-20 cm,48963340,6.6,7.7,22.97,10.2,10,17.1,1.4,141.2,,,0.5,1.0,PL,PL6,PL61,PL619,52.86341661,18.5601658,07-08-18,113,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.2013535,0.32810107,0.24405986,0.2495432,48983482,2018-07-20,0-20 cm,48983482,7.0,7.76,12.25,23.8,5,68,2.9,234.4,,,,,PL,PL6,PL63,PL638,54.12664149,18.84952143,22-07-18,25,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.022353994,0.12609747,0.046543494,0.05004876,49023428,2018-08-29,0-20 cm,49023428,7.2,7.3,45.64,90.3,8,23.7,8.2,83.6,,,1.0,7.4,PL,PL6,PL63,PL638,53.64120528,18.80858441,24-08-18,41,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.0864645,0.10920414,0.09801468,0.09810397,49023446,2018-09-20,0-20 cm,49023446,4.6,5.35,6.47,5.2,,65.8,0.8,71.4,,,,,PL,PL6,PL63,PL638,53.80156275,18.84217358,16-09-18,55,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.119309954,inf,0.3765564,inf,49042656,2018-07-17,0-20 cm,49042656,6.7,7.16,7.2,11.1,1,10.7,1.4,201,,,,,HU,HU2,HU23,HU232,46.7470949,17.6376375,05-07-18,10159,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.06574175,0.1221862,0.078484446,0.08004472,49063398,2018-08-09,0-20 cm,49063398,6.1,6.27,18.79,11.1,,23.8,1.5,197.5,,,0.6,1.9,PL,PL6,PL61,PL616,53.3695699,18.81299252,10-08-18,139,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.15047476,0.26148134,0.17744656,0.18037114,49082776,2018-06-12,0-20 cm,49082776,7.4,8.21,24.65,24.6,150,34.5,1.8,196.7,,,,,SK,SK0,SK02,SK023,47.81677033,17.85054393,13-06-18,116,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.03800405,2235.0,0.06912565,1.2190652,49083478,2018-07-20,0-20 cm,49083478,6.5,6.86,6.93,18.5,,45.5,2.2,162.2,,,,,PL,PL6,PL63,PL638,54.0799574,18.99370849,22-07-18,32,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.3131872,0.6828087,0.53921765,0.53022504,49122798,2018-05-13,0-20 cm,49122798,7.1,7.82,15.57,34.1,21,25.9,3.6,257.1,,,1.4,4.8,SK,SK0,SK02,SK023,48.00961154,17.93430593,14-05-18,102,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.0018621974,38280600000000.0,0.578125,7218668500.0,49162820,2018-06-12,0-20 cm,49162820,7.3,7.88,18.61,20.9,84,27.3,1.8,234.8,,,,,SK,SK0,SK02,SK023,48.20236228,18.01876873,11-06-18,142,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.20258367,0.3922937,0.2661448,0.27303824,49163482,2018-07-20,0-20 cm,49163482,6.0,6.58,14.73,17.6,,39,2.2,196.3,,,,,PL,PL6,PL63,PL638,54.10659448,19.12287614,22-07-18,33,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.024303144,0.16802642,0.039188005,0.042258706,49203472,2018-07-20,0-20 cm,49203472,6.2,6.65,21.43,20.2,,36.3,2.2,92.1,,,,,PL,PL6,PL63,PL638,54.01303468,19.16397268,21-07-18,35,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.07416463,0.3598258,0.17755595,0.19258389,49223160,2018-07-20,0-20 cm,49223160,7.2,7.91,13.93,9.6,131,31,0.9,155.3,,,5.9,4.2,PL,PL7,PL71,PL714,51.23118208,18.62742229,21-07-18,1,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.12037224,0.2849302,0.13181646,0.13944551,49242630,2018-07-14,0-20 cm,49242630,6.5,7.25,7.33,12.1,,13.2,1.4,173.1,,,1.1,1.3,HU,HU2,HU23,HU232,46.49565478,17.86330558,12-07-18,178,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.08341216,0.2113295,0.09590427,0.099189185,49283134,2018-07-20,0-20 cm,49283134,5.9,6.1,18.47,14.1,,39.7,1.4,212.2,,,,,PL,PL5,PL52,PL524,50.99298943,18.6689485,19-07-18,265,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.23623708,inf,0.796973,inf,49302672,2018-06-17,0-20 cm,49302672,6.7,7.37,5.88,12.6,1,12.4,1.5,155.8,,,1.0,0.9,HU,HU2,HU23,HU232,46.86561142,17.99773126,18-06-18,140,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.1208469,0.365761,0.1411247,0.15873662,49342736,2018-08-16,0-20 cm,49342736,5.1,5.99,3.46,6.1,,16.4,0.8,88.4,,,1.0,2.4,HU,HU2,HU21,HU211,47.4339294,18.13889426,15-08-18,229,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
