Min,Max,Median,Mean,Point_id,date,Depth,POINTID,pH_CaCl2,pH_H2O,EC,OC,CaCO3,P,N,K,OC (20-30 cm),CaCO3 (20-30 cm),Ox_Al,Ox_Fe,NUTS_0,NUTS_1,NUTS_2,NUTS_3,TH_LAT,TH_LONG,SURVEY_DATE,Elev,LC,LU,LC0_Desc,LC1_Desc,LU1_Desc
0.0,0.36778745,0.29894906,0.17525189,30762276,2018-05-05,0-20 cm,30762276,6.5,6.96,6.07,5.9,,25.4,0.9,108.1,,,,,ES,ES4,ES41,ES413,42.4526445,-5.201965264,08-05-18,957,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.21317475,0.0,-0.18077901,-0.1010545,30782218,2018-07-06,0-20 cm,30782218,6.8,7.33,5.67,6.9,,20.3,1,150.2,,,0.5,0.9,ES,ES4,ES41,ES418,41.94422513,-5.047908125,12-07-18,791,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.12648809,0.0,-0.01480652,-0.026430862,30802096,2018-08-25,0-20 cm,30802096,6.7,7.23,8.64,3.8,,< LOD,0.5,124,,,0.5,0.4,ES,ES4,ES41,ES411,40.86904346,-4.760230059,28-08-18,934,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.1389202,0.0,-0.07567748,-0.059587482,30842118,2018-08-15,0-20 cm,30842118,5.1,5.59,2.79,2.5,,26,0.3,53.3,,,,,ES,ES4,ES41,ES411,41.07077608,-4.760178875,13-08-18,896,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.0,0.08903271,0.023501363,0.03225433,30842216,2018-06-26,0-20 cm,30842216,7.4,7.98,21.52,6.5,28,38.2,1,302.1,,,,,ES,ES4,ES41,ES414,41.93729676,-4.972432257,29-06-18,809,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.15618028,0.0,-0.12664029,-0.07453193,30842222,2018-07-06,0-20 cm,30842222,7.5,8.28,10.89,12.6,7,< LOD,1,171.6,,,0.4,0.5,ES,ES4,ES41,ES418,41.99030284,-4.98569335,11-07-18,817,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.22194985,0.0,-0.16720465,-0.0981634,30842226,2018-07-06,0-20 cm,30842226,7.2,8.41,10.09,7,64,13.2,1,279.2,,,,,ES,ES4,ES41,ES418,42.02563728,-4.994551455,12-07-18,809,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.13244353,0.028928336,-0.007146505,-0.042125087,30842252,2018-07-26,0-20 cm,30842252,7.5,8.23,11.41,4.6,44,< LOD,1,148.4,,,,,ES,ES4,ES41,ES418,42.2552536,-5.052470169,22-07-18,843,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.050739594,0.0,-0.012337903,-0.013587719,30842262,2018-07-26,0-20 cm,30842262,6.6,6.97,9.77,6.5,1,81.5,1,274.3,,,0.6,2.2,ES,ES4,ES41,ES413,42.34354106,-5.074905119,22-07-18,853,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.073264636,0.0,-0.04722879,-0.031111518,30902164,2018-05-17,0-20 cm,30902164,7.6,8.03,10.46,4,5,42.7,0.6,170.4,,,,,ES,ES4,ES41,ES418,41.48828206,-4.788239767,16-05-18,755,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.20823342,0.0,-0.14342842,-0.08655622,30902260,2018-07-26,0-20 cm,30902260,7.4,8.02,11.05,7,9,19.8,1.1,113.4,,,,,ES,ES4,ES41,ES413,42.33665193,-4.998916951,22-07-18,871,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.15146871,0.0,-0.13664341,-0.07609788,30942150,2018-08-15,0-20 cm,30942150,7.3,7.54,19.81,5.4,5,82.5,0.7,309.3,,,,,ES,ES4,ES41,ES418,41.37146686,-4.711209966,13-08-18,778,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.0,0.431583,0.36402434,0.21474974,30942294,2018-06-16,0-20 cm,30942294,6.0,6.4,25.36,13.4,1,38.8,1.7,396.1,,,,,ES,ES4,ES41,ES413,42.64398395,-5.027561423,18-06-18,951,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.11075552,0.0,-0.093878016,-0.05306864,30982132,2018-08-15,0-20 cm,30982132,7.4,7.66,16.06,11.1,109,42.7,1.3,880.5,,,,,ES,ES4,ES41,ES416,41.219164,-4.62604808,13-08-18,845,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
